R(Å)      exactPDF    g(Te-Te)    g(As-Te)    g(As-As)    
  0.018480    -0.01221    -0.00833    -0.00833    -0.00833
  0.036960    -0.02406    -0.01665    -0.01665    -0.01665
  0.055440    -0.03519    -0.02498    -0.02498    -0.02498
  0.073920    -0.04535    -0.03331    -0.03331    -0.03331
  0.092400    -0.05435    -0.04164    -0.04164    -0.04164
  0.110880    -0.06214    -0.04996    -0.04996    -0.04996
  0.129360    -0.06876    -0.05829    -0.05829    -0.05829
  0.147840    -0.07438    -0.06662    -0.06662    -0.06662
  0.166320    -0.07926    -0.07495    -0.07495    -0.07495
  0.184800    -0.08373    -0.08327    -0.08327    -0.08327
  0.203280    -0.08816    -0.09160    -0.09160    -0.09160
  0.221759    -0.09292    -0.09993    -0.09993    -0.09993
  0.240239    -0.09835    -0.10825    -0.10825    -0.10825
  0.258719    -0.10473    -0.11658    -0.11658    -0.11658
  0.277199    -0.11224    -0.12491    -0.12491    -0.12491
  0.295679    -0.12097    -0.13324    -0.13324    -0.13324
  0.314159    -0.13086    -0.14156    -0.14156    -0.14156
  0.332639    -0.14178    -0.14989    -0.14989    -0.14989
  0.351119    -0.15347    -0.15822    -0.15822    -0.15822
  0.369599    -0.16560    -0.16654    -0.16654    -0.16654
  0.388079    -0.17783    -0.17487    -0.17487    -0.17487
  0.406559    -0.18976    -0.18320    -0.18320    -0.18320
  0.425039    -0.20107    -0.19153    -0.19153    -0.19153
  0.443519    -0.21146    -0.19985    -0.19985    -0.19985
  0.461999    -0.22074    -0.20818    -0.20818    -0.20818
  0.480479    -0.22883    -0.21651    -0.21651    -0.21651
  0.498959    -0.23574    -0.22484    -0.22484    -0.22484
  0.517439    -0.24162    -0.23316    -0.23316    -0.23316
  0.535919    -0.24670    -0.24149    -0.24149    -0.24149
  0.554399    -0.25129    -0.24982    -0.24982    -0.24982
  0.572879    -0.25575    -0.25814    -0.25814    -0.25814
  0.591359    -0.26044    -0.26647    -0.26647    -0.26647
  0.609839    -0.26572    -0.27480    -0.27480    -0.27480
  0.628319    -0.27186    -0.28313    -0.28313    -0.28313
  0.646798    -0.27907    -0.29145    -0.29145    -0.29145
  0.665278    -0.28745    -0.29978    -0.29978    -0.29978
  0.683758    -0.29700    -0.30811    -0.30811    -0.30811
  0.702238    -0.30758    -0.31643    -0.31643    -0.31643
  0.720718    -0.31898    -0.32476    -0.32476    -0.32476
  0.739198    -0.33091    -0.33309    -0.33309    -0.33309
  0.757678    -0.34302    -0.34142    -0.34142    -0.34142
  0.776158    -0.35494    -0.34974    -0.34974    -0.34974
  0.794638    -0.36634    -0.35807    -0.35807    -0.35807
  0.813118    -0.37692    -0.36640    -0.36640    -0.36640
  0.831598    -0.38648    -0.37473    -0.37473    -0.37473
  0.850078    -0.39490    -0.38305    -0.38305    -0.38305
  0.868558    -0.40217    -0.39138    -0.39138    -0.39138
  0.887038    -0.40840    -0.39971    -0.39971    -0.39971
  0.905518    -0.41379    -0.40803    -0.40803    -0.40803
  0.923998    -0.41862    -0.41636    -0.41636    -0.41636
  0.942478    -0.42322    -0.42469    -0.42469    -0.42469
  0.960958    -0.42793    -0.43302    -0.43302    -0.43302
  0.979438    -0.43310    -0.44134    -0.44134    -0.44134
  0.997918    -0.43901    -0.44967    -0.44967    -0.44967
  1.016398    -0.44590    -0.45800    -0.45800    -0.45800
  1.034878    -0.45387    -0.46632    -0.46632    -0.46632
  1.053358    -0.46296    -0.47465    -0.47465    -0.47465
  1.071837    -0.47309    -0.48298    -0.48298    -0.48298
  1.090317    -0.48409    -0.49131    -0.49131    -0.49131
  1.108797    -0.49569    -0.49963    -0.49963    -0.49963
  1.127277    -0.50759    -0.50796    -0.50796    -0.50796
  1.145757    -0.51946    -0.51629    -0.51629    -0.51629
  1.164237    -0.53097    -0.52462    -0.52462    -0.52462
  1.182717    -0.54182    -0.53294    -0.53294    -0.53294
  1.201197    -0.55181    -0.54127    -0.54127    -0.54127
  1.219677    -0.56077    -0.54960    -0.54960    -0.54960
  1.238157    -0.56867    -0.55792    -0.55792    -0.55792
  1.256637    -0.57554    -0.56625    -0.56625    -0.56625
  1.275117    -0.58154    -0.57458    -0.57458    -0.57458
  1.293597    -0.58688    -0.58291    -0.58291    -0.58291
  1.312077    -0.59184    -0.59123    -0.59123    -0.59123
  1.330557    -0.59673    -0.59956    -0.59956    -0.59956
  1.349037    -0.60184    -0.60789    -0.60789    -0.60789
  1.367517    -0.60747    -0.61621    -0.61621    -0.61621
  1.385997    -0.61385    -0.62454    -0.62454    -0.62454
  1.404477    -0.62113    -0.63287    -0.63287    -0.63287
  1.422957    -0.62940    -0.64120    -0.64120    -0.64120
